feature,importance
IsHighQuality,0.05079541549669236
ExterQual_TA,0.03429996273281681
GrLivAreaBin_small,0.03268768193461831
QualTotalSF,0.029062315186111846
OverallQual,0.02446744713090502
QualGarage,0.023531684338660118
KitchenQual_TA,0.023129895638301964
QualGrLiv,0.022501947791669318
GrLivAreaBin_large,0.019769108632568252
FireplaceQu_None,0.019746608991551562
Foundation_PConc,0.019497340931290796
HasFireplace,0.019362248498373317
ExterQual_Gd,0.01931955633610989
IsLargeHouse,0.019261114193984245
TotalSF,0.018471657161091438
GarageCars,0.017053342568128963
GrLivArea_log,0.016746058175546617
GrLivArea,0.016105981006940523
BsmtQual_Ex,0.014330488280984077
BsmtQual_TA,0.013348849858065004
RemodAge,0.013052827232516271
FullBath,0.012972731647572374
TotalBathrooms,0.012210841945918654
YearRemodAdd,0.012128220513428017
LuxuryAmenityScore,0.011640119726288287
YearBuilt,0.01142382959756272
KitchenQual_Ex,0.010385893843481288
HouseAge,0.010242215711479229
KitchenQual_Gd,0.010213451921554388
HeatingQC_Ex,0.010197012332569226
