feature,importance
GrLivArea_log,0.12222224871606766
MSZoning_C (all),0.11528911455514777
Neighborhood_Qual_Edwards_10,0.10820711639338901
OverallQual,0.07847941813540843
Neighborhood_Edwards,0.07709834155172558
Neighborhood_Crawfor,0.07483146702981762
Functional_Typ,0.06676384772877346
1stFlrSF_log,0.06518840854973874
TotalBsmtSF_log,0.06314220866289344
Neighborhood_Qual_NoRidge_10,0.059411799392430166
PoolArea,0.059102411836651755
Neighborhood_StoneBr,0.057260603502815234
HasPool,0.05683576250536084
Exterior1st_BrkFace,0.055953036361239356
Condition2_PosN,0.05545404490383162
Functional_Maj2,0.052110426178385044
Neighborhood_Qual_IDOTRR_4,0.051433996161461305
RoofMatl_ClyTile,0.049506727891043954
Neighborhood_NoRidge,0.04867896486586567
OverallCond,0.04660223604595271
Neighborhood_NridgHt,0.04581159089134965
1stFlrSF,0.04433631779316735
RoofMatl_WdShngl,0.04430662732144251
Neighborhood_Qual_NWAmes_7,0.043738630827590975
KitchenQual_Ex,0.042742313640928536
MSZoning_FV,0.042036930074718704
Neighborhood_Qual_StoneBr_9,0.0407242909424068
Condition1_Norm,0.03898780718228986
Condition1_RRAe,0.03893584635904489
BsmtExposure_Gd,0.03834456391103501
