feature,importance
QualTotalSF,0.19058667
CentralAir_Y,0.118789315
CentralAir_N,0.053794917
MSZoning_RM,0.044257347
Neighborhood_Qual_NoRidge_10,0.029190963
QualGrLiv,0.025613016
GarageQual_TA,0.021329612
GarageCond_TA,0.01961392
Neighborhood_Qual_Edwards_10,0.01810417
TotalBathrooms,0.017099159
Neighborhood_OldTown,0.014977029
GarageCars,0.0146662695
HasFireplace,0.01455035
KitchenQual_TA,0.013489964
BsmtQual_Ex,0.012264776
LandContour_Bnk,0.012189405
KitchenAbvGr,0.011297117
MSZoning_RL,0.010760382
PavedDrive_Y,0.010682051
ExterQual_TA,0.009970554
PavedDrive_N,0.009825117
MSZoning_C (all),0.009302443
LandSlope_Gtl,0.008965662
GarageFinish_Unf,0.008600401
OverallQual,0.008109079
TotalSF,0.007090076
QualGarage,0.006776466
PoolArea,0.0065541193
Functional_Typ,0.006225147
SaleCondition_Abnorml,0.0060352553
