stage,model,candidate,rmse_mean,rmse_std,rmse_text
Stage1,stacking,final_alpha_5,0.12597,0.00431,"0.12597 ± 0.00431"
Stage1,stacking,final_alpha_2,0.12654,0.00472,"0.12654 ± 0.00472"
Stage1,voting_mean,ridge_a6,0.12505,0.00373,"0.12505 ± 0.00373"
Stage1,voting_mean,base,0.12556,0.00365,"0.12556 ± 0.00365"
Stage1,xgb,sample075,0.12652,0.00298,"0.12652 ± 0.00298"
Stage1,xgb,base,0.12677,0.00283,"0.12677 ± 0.00283"
Stage1,lgbm,base,0.13200,0.00250,"0.13200 ± 0.00250"
Stage1,lgbm,leaves63_depth8,0.13230,0.00240,"0.13230 ± 0.00240"
Stage1,ridge,alpha_6,0.13627,0.00704,"0.13627 ± 0.00704"
Stage1,ridge,base,0.13651,0.00657,"0.13651 ± 0.00657"
Stage1,extratrees,base,0.14335,0.00164,"0.14335 ± 0.00164"
Stage1,extratrees,n1500_leaf1,0.14335,0.00164,"0.14335 ± 0.00164"
Stage2,stacking,final_alpha_5,0.12415,0.00466,"0.12415 ± 0.00466"
Stage2,stacking,final_alpha_2,0.12489,0.00502,"0.12489 ± 0.00502"
Stage2,voting_mean,ridge_a6,0.12289,0.00399,"0.12289 ± 0.00399"
Stage2,voting_mean,base,0.12338,0.00391,"0.12338 ± 0.00391"
Stage2,xgb,sample075,0.12333,0.00352,"0.12333 ± 0.00352"
Stage2,xgb,base,0.12452,0.00311,"0.12452 ± 0.00311"
Stage2,lgbm,base,0.13127,0.00219,"0.13127 ± 0.00219"
Stage2,lgbm,leaves63_depth8,0.13149,0.00197,"0.13149 ± 0.00197"
Stage2,ridge,alpha_6,0.13291,0.00695,"0.13291 ± 0.00695"
Stage2,ridge,base,0.13360,0.00653,"0.13360 ± 0.00653"
Stage2,extratrees,base,0.14020,0.00220,"0.14020 ± 0.00220"
Stage2,extratrees,n1500_leaf1,0.14020,0.00220,"0.14020 ± 0.00220"

